file,ext,bytes,width,height,mime,status
https://alche.studio/top/fortnite.png,png,9301,660,274,image/png,200
https://alche.studio/top/ue2.png,png,24102,1090,150,image/png,200
https://alche.studio/stellla/logo_stellla.png,png,19536,898,389,image/png,200
https://alche.studio/common/scene.glb,glb,685324,,,model/gltf-binary,200
https://alche.studio/sounds/bgm.mp3,mp3,1011840,,,audio/mpeg,200
https://alche.studio/common/loading/logo/data.json,json,3888,,,application/json,200
https://alche.studio/sounds/works_in.mp3,mp3,40416,,,audio/mpeg,200
https://alche.studio/sounds/mission_in.mp3,mp3,11195,,,audio/mpeg,200
https://alche.studio/common/loading/bg/data.json,json,42484,,,application/json,200
https://alche.studio/404/ascii_texture.png,png,4362,1024,64,image/png,200
https://alche.studio/top/service-title.png,png,12067,1074,192,image/png,200
https://alche.studio/envmap/pz.png,png,161478,512,512,image/png,200
https://alche.studio/envmap/nz.png,png,167727,512,512,image/png,200
https://alche.studio/top/logo.png,png,28380,1204,250,image/png,200
https://alche.studio/sounds/typing.mp3,mp3,256320,,,audio/mpeg,200
https://alche.studio/top/works-title.png,png,15955,1136,256,image/png,200
https://alche.studio/envmap/nx.png,png,157067,512,512,image/png,200
https://alche.studio/envmap/py.png,png,269685,512,512,image/png,200
https://alche.studio/envmap/ny.png,png,143615,512,512,image/png,200
https://alche.studio/top/service/uefn.mp4,mp4,3529029,,,video/mp4,206
https://alche.studio/envmap/px.png,png,105794,512,512,image/png,200
https://alche.studio/top/service/stellla.mp4,mp4,5064361,,,video/mp4,206
https://alche.studio/top/service/ue.mp4,mp4,4035579,,,video/mp4,206
https://alche.studio/favicon.png,png,897,48,48,image/png,200
https://alche.studio/cms-media/01M0P0Q7Y0JJVK0QJC1DEKFCYW-w800.avif,avif,47273,800,450,image/avif,200
https://alche.studio/cms-media/01M0P0SVF5XHVWD2JZA940M1PC-w800.avif,avif,75469,800,451,image/avif,200
https://alche.studio/cms-media/01M0P0QEPW33D4YQEFN09K01JW-w800.avif,avif,57637,800,450,image/avif,200
https://alche.studio/cms-media/01M0P0RYEXA8R54HTQB627SEXV-w800.avif,avif,80322,800,450,image/avif,200
https://alche.studio/cms-media/01M0P0WHRCZVQ51VE2MY08YG93-w800.avif,avif,48748,800,449,image/avif,200
https://alche.studio/cms-media/01M0P0WHRCZVQ51VE2MY08YG93-w1200.avif,avif,73775,1200,674,image/avif,200
https://alche.studio/cms-media/01M0P0RWQJS08Q2XRVC78DDFWE-w1200.avif,avif,155571,1200,675,image/avif,200
https://alche.studio/cms-media/01M0P0RWQJS08Q2XRVC78DDFWE-w800.avif,avif,87645,800,450,image/avif,200
https://alche.studio/cms-media/01M0P0Q7Y0JJVK0QJC1DEKFCYW-w1200.avif,avif,90695,1200,675,image/avif,200
https://alche.studio/cms-media/01M0P0RYEXA8R54HTQB627SEXV-w1200.avif,avif,153798,1200,675,image/avif,200
https://alche.studio/cms-media/01M0P0QEPW33D4YQEFN09K01JW-w1200.avif,avif,118076,1200,675,image/avif,200
https://alche.studio/cms-media/01M0P0SVF5XHVWD2JZA940M1PC-w1200.avif,avif,144549,1200,677,image/avif,200
https://alche.studio/top/outro/data.json,json,55204,,,application/json,200
