file,ext,bytes,width,height,mime,status
https://alche.studio/cms-media/01M0P0Q7Y0JJVK0QJC1DEKFCYW-w1200.avif,avif,90695,1200,675,image/avif,200
https://alche.studio/cms-media/01M0P0SVF5XHVWD2JZA940M1PC-w1200.avif,avif,144549,1200,677,image/avif,200
https://alche.studio/cms-media/01M0P0QEPW33D4YQEFN09K01JW-w1200.avif,avif,118076,1200,675,image/avif,200
https://alche.studio/cms-media/01M0P0WVNF8RJ12TMGF53RJ9T9-w1200.avif,avif,77268,1200,675,image/avif,200
https://alche.studio/cms-media/01M0P0RBSKX29V4DWWXHT6GCYS-w1200.avif,avif,60147,1200,654,image/avif,200
https://alche.studio/cms-media/01M0P0VFNSP0Y409T4K5BAE240-w1200.avif,avif,175651,1200,675,image/avif,200
https://alche.studio/cms-media/01M0P0WHRCZVQ51VE2MY08YG93-w1200.avif,avif,73775,1200,674,image/avif,200
https://alche.studio/cms-media/01M0P0W6DWRKC22KF6651ZHGM0-w1200.avif,avif,179008,1200,675,image/avif,200
https://alche.studio/cms-media/01M0P0RWQJS08Q2XRVC78DDFWE-w1200.avif,avif,155571,1200,675,image/avif,200
https://alche.studio/cms-media/01M0P0PYDAH4ZV2BNP86F774ZZ-w1200.avif,avif,181731,1200,675,image/avif,200
https://alche.studio/cms-media/01M0P0WAWX2PY1KCC0NMG6H21H-w1200.avif,avif,128466,900,507,image/avif,200
https://alche.studio/cms-media/01M0P0WD8XM7VP4CEF6KA8HCTA-w1200.avif,avif,244321,1200,675,image/avif,200
https://alche.studio/cms-media/01M0P0V5S683FHKG4TEWAEX91P-w1200.avif,avif,131792,1200,833,image/avif,200
https://alche.studio/cms-media/01M0P0RYEXA8R54HTQB627SEXV-w1200.avif,avif,153798,1200,675,image/avif,200
https://alche.studio/cms-media/01M0P0Q40NC0JRQG62315JAEKZ-w1200.avif,avif,122444,1200,676,image/avif,200
https://alche.studio/cms-media/01M0P0RN92GR6P3GT0V7ZYV8HG-w1200.avif,avif,150312,1200,848,image/avif,200
https://alche.studio/common/scene.glb,glb,685324,,,model/gltf-binary,200
https://alche.studio/sounds/bgm.mp3,mp3,1011840,,,audio/mpeg,200
https://alche.studio/sounds/mission_in.mp3,mp3,11195,,,audio/mpeg,200
https://alche.studio/top/works-title.png,png,15955,1136,256,image/png,200
https://alche.studio/common/loading/bg/data.json,json,42484,,,application/json,200
https://alche.studio/common/loading/logo/data.json,json,3888,,,application/json,200
https://alche.studio/sounds/works_in.mp3,mp3,40416,,,audio/mpeg,200
https://alche.studio/top/service-title.png,png,12067,1074,192,image/png,200
https://alche.studio/envmap/px.png,png,105794,512,512,image/png,200
https://alche.studio/sounds/typing.mp3,mp3,256320,,,audio/mpeg,200
https://alche.studio/404/ascii_texture.png,png,4362,1024,64,image/png,200
https://alche.studio/envmap/nx.png,png,157067,512,512,image/png,200
https://alche.studio/envmap/pz.png,png,161478,512,512,image/png,200
https://alche.studio/envmap/nz.png,png,167727,512,512,image/png,200
https://alche.studio/top/logo.png,png,28380,1204,250,image/png,200
https://alche.studio/envmap/ny.png,png,143615,512,512,image/png,200
https://alche.studio/envmap/py.png,png,269685,512,512,image/png,200
https://alche.studio/top/service/uefn.mp4,mp4,3529029,,,video/mp4,206
https://alche.studio/top/service/ue.mp4,mp4,4035579,,,video/mp4,206
https://alche.studio/top/service/stellla.mp4,mp4,5064361,,,video/mp4,206
https://alche.studio/favicon.png,png,897,48,48,image/png,200
https://alche.studio/top/outro/data.json,json,55204,,,application/json,200
